,ACE 200,ACE 200TR,ACE Fn성장소비주도주,ACE Gloabal Luxury&Hotel Index,ACE 골드선물 레버리지(합성 H),ACE 국고채3년,ACE 국채선물10년인버스,ACE 국채선물3년인버스,ACE 단기통안채,ACE 러시아MSCI(합성),ACE 레버리지,ACE 멕시코MSCI(합성),ACE 미국IT인터넷S&P(합성 H),ACE 미국WideMoat가치주,ACE 미국다우존스리츠(합성 H),ACE 밸류대형,ACE 베트남VN30(합성),ACE 삼성그룹동일가중,ACE 삼성그룹섹터가중,ACE 스마트로우볼,ACE 스마트모멘텀,ACE 스마트밸류,ACE 스마트퀄리티,ACE 스마트하이베타,ACE 싱가포르리츠,ACE 싱가포르리츠채권혼합모닝스타,ACE 아시아TOP50S&P,ACE 인도네시아MSCI(합성),ACE 인버스,ACE 일본Nikkei225(H),ACE 일본TOPIX레버리지(H),ACE 일본TOPIX인버스(합성 H),ACE 중국본토CSI300,ACE 중국본토CSI300레버리지(합성),ACE 중장기국공채액티브,ACE 코스닥(합성),ACE 코스피,ACE 필리핀MSCI(합성)
0,29719.65,17288.39,6086.3,2198.8914,14438.68,106611.48,93167.2,99682.54,100120.37,31712.34,5486.69,9575.93,12587.55,12714.81,84890.39,7311.66,13192.94,14253.15,10622.44,12862.07,12441.8,11253.7,13262.24,10333.39,12178.83,10026.33,11784.27,10384.3,7800.4,15597.19,17352.98,5521.98,24123.11,3719.87,102202.09,9766.64,22364.04,15706.51
1,29760.34,17312.17,6059.52,2202.1149,14622.69,106800.18,92686.59,99539.57,100136.85,32117.26,5505.08,9856.81,12791.53,12927.28,83828.13,7320.07,13243.53,14238.28,10606.53,12878.25,12437.42,11265.56,13266.38,10344.87,12286.67,10090.27,11870.31,10424.98,7784.75,15609.82,17368.2,5521.51,24242.14,3757.72,102482.24,9707.15,22378.39,15534.52
2,29521.65,17173.92,5900.35,2183.97988,14688.66,106798.39,92710.72,99578.91,100144.98,32404.83,5414.73,9921.96,12684.12,12907.92,84515.81,7252.86,13131.28,14085.3,10531.0,12766.23,12329.93,11154.69,13159.03,10224.01,12288.93,10090.86,11826.86,10546.59,7850.86,15290.0,16819.28,5597.34,24224.58,3754.88,102483.46,9495.76,22160.19,15798.14
3,29809.72,17342.25,6070.26,2178.41799,15521.88,106597.18,93288.84,99736.23,100149.56,32545.33,5530.03,9906.85,12861.44,12882.54,84554.69,7294.45,13118.52,14243.53,10643.01,12856.82,12443.28,11239.25,13304.29,10317.77,12248.3,10038.75,11823.18,10441.64,7760.06,15537.86,17391.26,5507.03,24401.34,3808.99,102194.74,9613.24,22372.25,15736.16
4,29620.63,17233.45,5920.79,2176.16879,15308.14,106532.22,93388.96,99828.56,100154.04,32701.46,5453.09,9822.29,12870.78,12931.16,83625.57,7232.01,12997.43,14012.1,10538.71,12752.39,12333.58,11127.76,13214.38,10202.57,12370.14,10063.56,11800.23,10497.63,7819.24,15296.23,16924.52,5581.77,24227.65,3752.45,102120.77,9287.85,22127.6,15844.49
5,30127.43,17528.46,6069.9,2171.3093,15818.19,106372.9,93904.12,100012.91,100157.92,33057.79,5636.29,9835.54,12980.65,12834.1,83894.45,7345.21,13055.61,14293.82,10781.99,12930.07,12557.7,11287.39,13449.17,10411.14,12253.35,9999.54,11910.03,10357.06,7688.65,15646.02,17495.4,5491.66,24335.53,3788.67,101874.12,9651.28,22486.15,15541.81
6,30401.61,17687.27,6138.76,2161.59763,15050.78,106318.82,94220.49,100077.97,100168.57,33128.05,5737.39,9873.22,13078.97,12934.49,83890.26,7396.7,13196.17,14524.83,11044.3,13023.55,12694.87,11356.28,13605.28,10540.5,12341.58,10001.46,12027.76,10557.98,7619.36,15717.79,17568.45,5471.98,24362.42,3795.6,101771.66,9751.05,22689.45,15667.58
7,30715.02,17869.39,6355.41,2162.44905,14972.43,106361.75,94132.66,100018.33,100171.83,33108.11,5854.46,9883.74,13017.23,12833.76,84596.44,7451.96,13088.03,14668.14,11197.21,13131.59,12815.57,11457.91,13778.11,10661.03,12350.96,10008.17,12121.46,10579.79,7542.43,15712.61,17563.76,5471.85,24583.38,3867.09,101831.77,9840.37,22924.64,15592.6
8,30857.92,17952.83,6365.19,2181.93439,14864.18,106455.31,93924.75,99912.61,100175.1,33162.32,5908.09,9897.16,13184.85,12914.34,85507.59,7498.53,13131.78,14772.35,11241.87,13215.62,12868.82,11536.36,13835.45,10714.83,12365.0,10025.86,12100.48,10656.03,7509.92,15828.11,17689.56,5454.91,24557.05,3858.07,101957.13,9832.74,23023.51,15537.58
9,30673.78,17845.55,6401.17,2193.39262,14809.94,106462.36,93786.85,99932.9,100178.13,32896.89,5837.71,9895.22,13167.03,12902.78,85203.95,7448.43,13140.14,14743.43,11193.6,13149.78,12804.04,11484.91,13759.08,10664.47,12491.21,10068.5,12032.69,10744.64,7554.42,15762.01,17508.65,5484.2,24429.75,3816.77,102008.62,9838.99,22939.4,15570.42
