,title,url,time,Update_dt,trd_dt
0,"한투운용 ACE 미국30년국채액티브, 개인순매수 1000억원 돌파",http://www.enewstoday.co.kr/news/articleView.html?idxno=2018144,11분 전,2023-07-11 11:13:41.236246,20230711
1,"한투운용 'ACE 미국30년국채액티브(H)', 개인순매수 1000억원 돌파",https://www.newsway.co.kr/news/view?ud=2023071110570035438,13분 전,2023-07-11 11:13:41.236246,20230711
0,"한투운용, 'ACE 美30년국채액티브' 개인 순매수 1000억 돌파",http://www.newsis.com/view/?id=NISX20230711_0002371503&cID=15001&pID=15000,19분 전,2023-07-11 10:37:24.345320,20230711
1,4개월 간 개인 1000억원 잡은 美장기채 ETF는?,http://www.fnnews.com/news/202307110924046639,21분 전,2023-07-11 10:37:24.345320,20230711
2,낮은 보수·월배당 통했다...한투운용 美장기채 ETF 인기,https://www.mk.co.kr/article/10781534,22분 전,2023-07-11 10:37:24.345320,20230711
3,"한투운용, ‘美 30년 국채 액티브 ETF’ 개인 순매수 1000억 돌파",https://www.sedaily.com/NewsView/29S399RHHZ,28분 전,2023-07-11 10:37:24.345320,20230711
4,"한투운용 ACE 미국30년국채액티브, 개인 순매수 1000억원 돌파",https://www.ceoscoredaily.com/page/view/2023071109452234421,31분 전,2023-07-11 10:37:24.345320,20230711
5,“아이의 강력한 무기는 어른이 갖지 못한 ‘투자 기간’”,https://weekly.donga.com/3/all/11/4273360/1,35분 전,2023-07-11 10:37:24.345320,20230711
6,"ACE 미국30년국채액티브(H), 개인 순매수 1000억원 돌파",http://www.greenpostkorea.co.kr/news/articleView.html?idxno=209442,8분 전,2023-07-11 10:02:31.287635,20230711
7,"""추가 금리인상 기대돼"" 美국채 ETF 담은 서학개미들",https://www.gokorea.kr/news/articleView.html?idxno=742895,12분 전,2023-07-11 10:02:31.287635,20230711
8,"한투운용 ""ACE 미국30년국채액티브(H), 개인순매수 1천억원 돌파""",http://www.ftoday.co.kr/news/articleView.html?idxno=305598,30분 전,2023-07-11 10:02:31.287635,20230711
9,"한투운용 ACE 미국30년국채액티브(H), 개인순매수 1000억원 돌파",https://news.mtn.co.kr/news-detail/2023071109174919164,3분 전,2023-07-11 09:23:11.901860,20230711
10,"ACE 미국30년국채액티브(H) ETF, 개인 순매수 1000억 원 돌파",https://www.etoday.co.kr/news/view/2264817,7분 전,2023-07-11 09:23:11.901860,20230711
11,"한투운용 ACE 미국30년국채액티브, 개인순매수 1000억원 돌파",https://www.fetv.co.kr/news/article.html?no=143081,23분 전,2023-07-11 09:23:11.901860,20230711
12,"한투운용, ‘美 30년 국채 액티브 ETF’ 누적 개인 순매수 1000억 돌파",https://www.dailian.co.kr/news/view/1251886/?sc=Naver,29분 전,2023-07-11 09:23:11.901860,20230711
13,"한투운용, ACE 美30년국채액티브 개인순매수 1000억 돌파",http://www.segyebiz.com/newsView/20230711505925?OutUrl=naver,29분 전,2023-07-11 09:23:11.901860,20230711
14,"한투운용 ACE 미국30년국채액티브, 개인순매수 1000억원 돌파",http://www.edaily.co.kr/news/newspath.asp?newsid=01321846635673536,4분 전,2023-07-11 08:44:44.472330,20230711
15,"한투운용 ACE 미국30년국채액티브(H), 개인 순매수 1000억 돌파",http://news.mt.co.kr/mtview.php?no=2023071108305146382,8분 전,2023-07-11 08:44:44.472330,20230711
16,"퇴직연금 디폴트옵션 D-1, 기대감 커지는 금융투자업계",https://www.dailian.co.kr/news/view/1251843/?sc=Naver,1시간 전,2023-07-11 08:44:44.472330,20230711
17,"“매월 분배금 준다지만, 과연 이득일까?”…월배당 ETF의 함정",https://biz.chosun.com/stock/stock_general/2023/07/11/7CZHCBYLUJEBLB47FH6HIN3SRA/?utm_source=naver&utm_medium=original&utm_campaign=biz,2시간 전,2023-07-11 08:44:44.472330,20230711
18,"[단신]SC제일은행, ‘제일EZ통장’ 첫 거래 가입 이벤트 外",https://www.donga.com/news/Economy/article/all/20230710/120168985/1,5시간 전,2023-07-11 08:44:44.472330,20230711
19,"'생성형 AI 투자' 등 ETF 3종목, 오늘(11일) 코스피 상장",http://www.newswell.co.kr/news/articleView.html?idxno=8459,8시간 전,2023-07-11 08:44:44.472330,20230711
20,"[증권소식] 증권가 ""삼성전자 3분기 턴어라운드""/하이투자증권, '업무 전문성 강화' 조직 개편 실시 등",https://www.asiatime.co.kr/article/20230710500399,8시간 전,2023-07-11 08:44:44.472330,20230711
21,"100조 ETF 시장, 개인 투자자들 미래에셋·삼성 몰려",http://www.fnnews.com/news/202307101818163158,25분 전,2023-07-10 18:44:56.763349,20230710
22,"ETF 시장 급성장에…운용사, 보수인하 경쟁도 격화",https://news.mtn.co.kr/news-detail/2023071016502165827,15분 전,2023-07-10 18:11:00.756973,20230710
23,"한투운용, 'ACE 글로벌인컴TOP10 SOLACTIVE ETF' 출시",http://www.paxetv.com/news/articleView.html?idxno=180753,31분 전,2023-07-10 18:11:00.756973,20230710
24,[오늘의 증권가 소식] SK증권 外,http://www.ftoday.co.kr/news/articleView.html?idxno=305580,22분 전,2023-07-10 17:36:42.313154,20230710
25,"증권·운용사, 400조 퇴직연금 고객 유치전 '불꽃'",https://www.sedaily.com/NewsView/29S2TA8SNY,27분 전,2023-07-10 17:36:42.313154,20230710
26,다시금 '20조원' 육박한 빚투…개인 투자자 성적표는 '글쎄',http://news.mt.co.kr/mtview.php?no=2023071008432146580,12분 전,2023-07-10 16:28:35.187167,20230710
27,"코스피, 0.24% 하락 마감…美 CPI 경계심리 상승",http://news.einfomax.co.kr/news/articleView.html?idxno=4273040,26분 전,2023-07-10 16:28:35.187167,20230710
28,오늘의 증시 메모[7월 11일],https://www.sedaily.com/NewsView/29S2TOUY8D,17분 전,2023-07-10 15:54:14.092813,20230710
29,"한투운용, 글로벌 인컴 ETF 모아놓은 '인컴TOP10 ETF' 출시",https://www.hankyung.com/finance/article/202307105518i,31분 전,2023-07-10 15:17:52.108037,20230710
30,"100조 시대 연 ETF, 개미 투심은 ‘미래에셋-삼성’ 집중",http://www.fnnews.com/news/202307101322317601,33분 전,2023-07-10 15:17:52.108037,20230710
31,"한투운용, 'ACE 글로벌인컴TOP10 SOLACTIVE' ETF 출시",http://www.dailyimpact.co.kr/news/articleView.html?idxno=100328,45분 전,2023-07-10 15:17:52.108037,20230710
32,"한투운용, 자산배분형 월배당 ETF 출시",https://www.ebn.co.kr/news/view/1584125/?sc=Naver,1시간 전,2023-07-10 15:17:52.108037,20230710
