,title,url,time,Update_dt,trd_dt
0,[하우머니] 증시 출렁여도 후한 인심…‘배당 맛집’ ETF는?,https://biz.sbs.co.kr/article_hub/20000126356?division=NAVER,16분 전,2023-07-11 10:02:38.589107,20230711
1,만들어진 ETF 100조? 운용사 시가총액 뻥튀기 논란,http://www.edaily.co.kr/news/newspath.asp?newsid=01131606635673536,3시간 전,2023-07-11 08:44:51.776047,20230711
2,한달새 1조원 빨아들인 '금리형 ETF',https://www.mk.co.kr/article/10781176,25분 전,2023-07-10 18:11:08.409253,20230710
3,다시금 '20조원' 육박한 빚투…개인 투자자 성적표는 '글쎄',http://news.mt.co.kr/mtview.php?no=2023071008432146580,12분 전,2023-07-10 16:28:42.359202,20230710
4,증시 박스에 갇히자...‘파킹형’ 금리ETF 한달새 1조 유입,https://www.mk.co.kr/article/10780944,1분 전,2023-07-10 15:54:21.500311,20230710
5,[더벨][ETF 위클리]파킹상품 자금몰이…KODEX CD금리 액티브 '인기',https://www.thebell.co.kr/free/content/ArticleView.asp?key=202307100920331160101151,4시간 전,2023-07-10 15:17:59.670358,20230710
6,"코스피, 혼조세 출발…美 연착륙 기대 vs 금리인상 지속",http://news.einfomax.co.kr/news/articleView.html?idxno=4272964,5시간 전,2023-07-10 15:17:59.670358,20230710
7,ETF 100조 시대… “미국 주식·2차전지·반도체 투자하세요” [마이머니],http://www.segye.com/content/html/2023/07/09/20230709512125.html?OutUrl=naver,12시간 전,2023-07-10 08:54:20.709954,20230709
8,조선株 ETF '훨훨' 올해 20%대 수익,https://www.mk.co.kr/article/10780035,15시간 전,2023-07-10 08:54:20.709954,20230709
9,호황 맞은 조선株 하반기 뜨나…2분기 ETF 상위권 ‘들썩’,https://www.etoday.co.kr/news/view/2264189,1일 전,2023-07-10 08:54:20.709954,20230709
10,하반기 박스피 전망?…횡보에 수익나는 '커버드콜 ETF' 주목,https://biz.sbs.co.kr/article_hub/20000126037?division=NAVER,1일 전,2023-07-10 08:54:20.709954,20230709
11,포스트 2차전지는...하반기 조선·엔터 ETF에 쏠리는 눈,https://www.dailian.co.kr/news/view/1251140/?sc=Naver,2일 전,2023-07-10 08:54:20.709954,20230708
12,"""박스권 증시 온다""…커버드콜 ETF 관심",https://www.hankyung.com/finance/article/2023070719721,2일 전,2023-07-10 08:54:20.709954,20230708
13,"2차전지, 상반기 ETF 상승 주도…하반기는?",http://www.ftoday.co.kr/news/articleView.html?idxno=305480,2일 전,2023-07-10 08:54:20.709954,20230708
