,title,url,time,Update_dt,trd_dt
0,"""오를 때 됐나""…카카오게임즈 등 게임주·ETF 들썩",https://www.hankyung.com/finance/article/2023071175196,37분 전,2023-07-11 11:13:43.644828,20230711
1,“아이의 강력한 무기는 어른이 갖지 못한 ‘투자 기간’”,https://weekly.donga.com/3/all/11/4273360/1,1시간 전,2023-07-11 11:13:43.644828,20230711
2,"“수익률로 증명”…삼성證·운용, 퇴직연금 시장서 존재감",https://www.dailian.co.kr/news/view/1251791/?sc=Naver,4시간 전,2023-07-11 11:13:43.644828,20230711
3,만들어진 ETF 100조? 운용사 시가총액 뻥튀기 논란,http://www.edaily.co.kr/news/newspath.asp?newsid=01131606635673536,6시간 전,2023-07-11 11:13:43.644828,20230711
4,"[증권소식] 증권가 ""삼성전자 3분기 턴어라운드""/하이투자증권, '업무 전문성 강화' 조직 개편 실시 등",https://www.asiatime.co.kr/article/20230710500399,11시간 전,2023-07-11 11:13:43.644828,20230711
5,2차전지 하반기도 뜰까...ETF도 관심↑,http://www.hansbiz.co.kr/news/articleView.html?idxno=655906,12시간 전,2023-07-11 11:13:43.644828,20230710
6,9배 폭등하더니 100만원 터치…“어디로 튈지” 증권사도 손놨다,https://www.mk.co.kr/article/10781245,16시간 전,2023-07-11 11:13:43.644828,20230710
7,"100조 ETF 시장, 개인 투자자들 미래에셋·삼성 몰려",http://www.fnnews.com/news/202307101818163158,16시간 전,2023-07-11 11:13:43.644828,20230710
8,한달새 1조원 빨아들인 '금리형 ETF',https://www.mk.co.kr/article/10781176,17시간 전,2023-07-11 11:13:43.644828,20230710
9,[오늘의 증권가 소식] SK증권 外,http://www.ftoday.co.kr/news/articleView.html?idxno=305580,17시간 전,2023-07-11 11:13:43.644828,20230710
10,"""내가 王이 될 상인가?"" 830% 오른 에코프로 장중 100만원 터치",http://news.mt.co.kr/mtview.php?no=2023071009184719539,18시간 전,2023-07-11 11:13:43.894769,20230710
11,다시금 '20조원' 육박한 빚투…개인 투자자 성적표는 '글쎄',http://news.mt.co.kr/mtview.php?no=2023071008432146580,18시간 전,2023-07-11 11:13:43.894769,20230710
12,증시 박스에 갇히자...‘파킹형’ 금리ETF 한달새 1조 유입,https://www.mk.co.kr/article/10780944,19시간 전,2023-07-11 11:13:43.894769,20230710
13,"[이슈] 'ETF 100조원 시대의 주역' 삼성자산운용, 글로벌 경쟁력도 극대화",http://www.paxetv.com/news/articleView.html?idxno=180731,19시간 전,2023-07-11 11:13:43.894769,20230710
14,"“리오프닝 효과 없나”…질주하는 글로벌 증시, 中펀드는 ‘내리막’",https://www.etoday.co.kr/news/view/2264648,19시간 전,2023-07-11 11:13:43.894769,20230710
15,[특징주] 신원종합개발+22%…서초구 헌인마을 개발 기대감↑,https://www.lcnews.co.kr/news/articleView.html?idxno=55683,20시간 전,2023-07-11 11:13:43.894769,20230710
16,"100조 시대 연 ETF, 개미 투심은 ‘미래에셋-삼성’ 집중",http://www.fnnews.com/news/202307101322317601,20시간 전,2023-07-11 11:13:43.894769,20230710
17,이상기후에 ‘슈퍼 엘니뇨’까지… 곡물 ETF·ETN ‘들썩’,http://www.skyedaily.com/news/news_view.html?ID=197987,21시간 전,2023-07-11 11:13:43.894769,20230710
18,"KODEX 2차전지핵심소재10Fn, 상장 4일 만에 순자산 1000억 원 돌파",http://www.skyedaily.com/news/news_view.html?ID=198007,21시간 전,2023-07-11 11:13:43.894769,20230710
19,삼성자산운용 'KODEX 2차전지핵심소재10Fn' 상장 4일만에 순자산 1천억 돌파,http://mbnmoney.mbn.co.kr/news/view?news_no=MM1004986266,22시간 전,2023-07-11 11:13:43.894769,20230710
20,"삼성자산운용, 'KODEX 2차전지핵심소재10Fn' 순자산 1000억원 돌파",https://news.mtn.co.kr/news-detail/2023071012382156072,22시간 전,2023-07-11 11:13:44.113466,20230710
21,"삼성자산운용, ""KODEX 2차전지핵심소재10Fn 순자산 1000억 돌파""",http://www.newspim.com/news/view/20230710000396,22시간 전,2023-07-11 11:13:44.113466,20230710
22,"KODEX 2차전지핵심소재10Fn, 순자산 1000억 돌파",https://www.fetv.co.kr/news/article.html?no=143021,23시간 전,2023-07-11 11:13:44.113466,20230710
23,"삼성자산운용, 2차전지 집중 투자 ETF 순자산 1천억 돌파",https://www.ceoscoredaily.com/page/view/2023071010481609255,23시간 전,2023-07-11 11:13:44.113466,20230710
24,"ETF 100조원 시대, 넥스트 스텝을 위한 고민",http://www.updownnews.co.kr/news/articleView.html?idxno=305012,1일 전,2023-07-11 11:13:44.113466,20230710
25,[더벨][ETF 위클리]파킹상품 자금몰이…KODEX CD금리 액티브 '인기',https://www.thebell.co.kr/free/content/ArticleView.asp?key=202307100920331160101151,1일 전,2023-07-11 11:13:44.113466,20230710
26,"KODEX 2차전지핵심소재10Fn, 순자산 1천억 돌파",http://www.4th.kr/news/articleView.html?idxno=2043052,1일 전,2023-07-11 11:13:44.113466,20230710
27,"""KODEX 2차전지핵심소재10Fn 상장 4일 만에 순자산 1000억 돌파""",http://www.smedaily.co.kr/news/articleView.html?idxno=262191,1일 전,2023-07-11 11:13:44.113466,20230710
28,'10만원→100만원' 뛴 에코프로…16년만에 코스닥 황제주 탄생,http://news.mt.co.kr/mtview.php?no=2023071009455833422,1일 전,2023-07-11 11:13:44.113466,20230710
29,"삼성운용 ""'KODEX 2차전지핵심소재10Fn', 순자산 1000억 돌파""",http://www.wolyo.co.kr/news/articleView.html?idxno=226128,1일 전,2023-07-11 11:13:44.113466,20230710
30,KODEX 2차전지핵심소재10Fn 순자산 1000억 돌파,https://www.mk.co.kr/article/10780513,1일 전,2023-07-11 11:13:44.308500,20230710
31,"KODEX 2차전지핵심소재10Fn, 상장 4일만에 순자산 1000억 돌파",http://www.greenpostkorea.co.kr/news/articleView.html?idxno=209419,1일 전,2023-07-11 11:13:44.308500,20230710
32,삼성운용 'KODEX 2차전지핵심소재10Fn' 상장 4일 만에 순자산 1000억 돌파,https://www.news2day.co.kr/article/20230710500049,1일 전,2023-07-11 11:13:44.308500,20230710
33,"삼성자산운용, 2차전지 집중 투자 ETF 순자산 천억 돌파",http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202307100078&t=NN,1일 전,2023-07-11 11:13:44.308500,20230710
