,title,url,time,Update_dt,trd_dt
0,"신한자산운용, 'SOL 미국 30년 국채 액티브(H)' ETF 신규 상장",https://www.news2day.co.kr/article/20230711500125,21분 전,2023-07-11 11:13:51.062642,20230711
0,"“금리 인상 마무리”···신한운용, 美장기국채 ETF 내놔",http://www.fnnews.com/news/202307110942387035,15분 전,2023-07-11 10:37:34.291013,20230711
1,"""추가 금리인상 기대돼"" 美국채 ETF 담은 서학개미들",https://www.gokorea.kr/news/articleView.html?idxno=742895,12분 전,2023-07-11 10:02:41.078505,20230711
2,"신한운용, 美 30년 국채 액티브 ETF 신규 상장",https://www.sedaily.com/NewsView/29S381PA5T,16분 전,2023-07-11 10:02:41.078505,20230711
3,"신한자산운용, 'SOL 미국30년국채액티브(H)' 신규 상장",http://news.mt.co.kr/mtview.php?no=2023071109241831445,34분 전,2023-07-11 10:02:41.078505,20230711
4,"신한자산운용, ‘SOL 미국 30년 국채 액티브 (H) ETF’ 신규 상장",https://www.etoday.co.kr/news/view/2264829,38분 전,2023-07-11 10:02:41.078505,20230711
5,"신한운용, ‘美 30년 국채 액티브 ETF’ 신규 상장",https://www.dailian.co.kr/news/view/1251897/?sc=Naver,15분 전,2023-07-11 09:23:21.526721,20230711
6,"[코인시황] 비트코인 상승 3만374달러, 리플↑ 이더리움↑1877달러",http://www.g-enews.com/ko-kr/news/article/news_all/202307110754326026c4c55f9b3d_1/article.html,20분 전,2023-07-11 08:44:54.200406,20230711
7,"[변동성에 성장한 운용사, 상반기 점검] 대형사 압도한 ETF 시장… ""따라하기 업계 관행 개선돼야""",https://www.ajunews.com/view/20230709170720146,2시간 전,2023-07-11 08:44:54.200406,20230711
8,"“매월 분배금 준다지만, 과연 이득일까?”…월배당 ETF의 함정",https://biz.chosun.com/stock/stock_general/2023/07/11/7CZHCBYLUJEBLB47FH6HIN3SRA/?utm_source=naver&utm_medium=original&utm_campaign=biz,2시간 전,2023-07-11 08:44:54.200406,20230711
9,"[토큰포스트 뉴욕 브리핑] 영란은행 총재 ""암호화폐, 투기성 높은 자산... CBDC 출시돼도 현금 존재할 것"" 外",https://www.tokenpost.kr/article-138664,8시간 전,2023-07-11 08:44:54.200406,20230711
10,"'생성형 AI 투자' 등 ETF 3종목, 오늘(11일) 코스피 상장",http://www.newswell.co.kr/news/articleView.html?idxno=8459,8시간 전,2023-07-11 08:44:54.200406,20230711
