,TIGER 200,TIGER 200 IT,TIGER 200 건설,TIGER 200 경기소비재,TIGER 200 금융,TIGER 200 산업재,TIGER 200 생활소비재,TIGER 200 에너지화학,TIGER 200 중공업,TIGER 200 철강소재,TIGER 200 헬스케어,TIGER 200IT레버리지,TIGER 200TR,TIGER 200동일가중,TIGER 200선물레버리지,TIGER 200선물인버스2X,TIGER 200에너지화학레버리지,TIGER 200커뮤니케이션서비스,TIGER 200커버드콜5%OTM,TIGER 200커버드콜ATM,TIGER 2차전지테마,TIGER KRX300,TIGER KTOP30,TIGER K게임,TIGER LG그룹+펀더멘털,TIGER MSCI KOREA ESG리더스,TIGER MSCI KOREA ESG유니버설,TIGER MSCI Korea TR,TIGER S&P글로벌인프라(합성),TIGER S&P글로벌헬스케어(합성),TIGER TOP10,TIGER 경기방어,TIGER 경기방어채권혼합,TIGER 골드선물(H),TIGER 구리실물,TIGER 국채3년,TIGER 글로벌4차산업혁신기술(합성 H),TIGER 글로벌자원생산기업(합성 H),TIGER 금속선물(H),TIGER 금은선물(H),TIGER 농산물선물Enhanced(H),TIGER 단기선진하이일드(합성 H),TIGER 단기채권액티브,TIGER 단기통안채,TIGER 라틴35,TIGER 레버리지,TIGER 로우볼,TIGER 리츠부동산인프라,TIGER 모멘텀,TIGER 미국MSCI리츠(합성 H),TIGER 미국S&P500레버리지(합성 H),TIGER 미국S&P500선물(H),TIGER 미국S&P500선물인버스(H),TIGER 미국나스닥100,TIGER 미국나스닥바이오,TIGER 미국다우존스30,TIGER 미국달러단기채권액티브,TIGER 미국달러선물레버리지,TIGER 미국달러선물인버스2X,TIGER 미국채10년선물,TIGER 미디어컨텐츠,TIGER 반도체,TIGER 방송통신,TIGER 배당성장,TIGER 삼성그룹펀더멘털,TIGER 소프트웨어,TIGER 여행레저,TIGER 우량가치,TIGER 우선주,TIGER 원유선물Enhanced(H),TIGER 원유선물인버스(H),TIGER 유로스탁스50(합성 H),TIGER 유로스탁스레버리지(합성 H),TIGER 유로스탁스배당30,TIGER 은행,TIGER 의료기기,TIGER 이머징마켓MSCI레버리지(합성 H),TIGER 인도니프티50레버리지(합성),TIGER 인버스,TIGER 일본TOPIX(합성 H),TIGER 일본니케이225,TIGER 일본엔선물,TIGER 중국소비테마,TIGER 중장기국채,TIGER 증권,TIGER 지주회사,TIGER 차이나CSI300,TIGER 차이나CSI300레버리지(합성),TIGER 차이나CSI300인버스(합성),TIGER 차이나HSCEI,TIGER 차이나항셍25,TIGER 코스닥150,TIGER 코스닥150 레버리지,TIGER 코스닥150IT,TIGER 코스닥150바이오테크,TIGER 코스닥150선물인버스,TIGER 코스피,TIGER 코스피고배당,TIGER 코스피대형주,TIGER 코스피중형주,TIGER 헬스케어,TIGER 현대차그룹+펀더멘털,TIGER 화장품
0,29545.66,23198.41,2378.14,13999.1,6935.22,4903.88,11032.79,11899.4,2799.13,6935.59,18749.17,27570.9,15121.25,9265.57,10542.02,6395.17,8808.82,17642.67,12932.83,9956.07,7418.55,13460.05,7145.2,7658.38,6977.73,8281.2,8822.23,11611.61,11559.81,14246.59,9361.3,10408.95,9404.91,11526.15,6753.93,110497.59,12944.13,11662.84,4970.24,8449.96,4692.72,11966.99,50020.99,100023.01,4111.73,13105.07,11495.16,5362.59,19658.68,14020.86,20289.78,37858.18,5945.59,45321.25,16231.78,16579.81,9873.86,9738.24,9872.18,11269.95,5567.53,27221.69,8479.59,14328.69,9450.96,8829.72,4415.4,10389.81,9955.71,4255.78,8475.46,12631.84,9593.79,13225.95,7416.92,10931.45,12159.1,16672.43,7004.88,14273.22,14818.26,10528.61,7098.26,52781.81,3876.53,10608.13,9133.7,20759.56,10527.54,13609.75,17829.92,10518.48,9367.71,12985.33,8676.21,7755.67,22225.55,11569.4,10903.42,11318.1,28908.13,17041.24,3273.03
1,29584.37,23193.48,2372.17,13950.82,6964.28,4892.23,10968.39,11936.18,2828.9,6956.23,18563.47,27511.82,15140.15,9261.19,10592.59,6368.72,8767.95,17719.64,12948.15,9948.89,7367.13,13464.26,7140.72,7719.9,6961.85,8285.34,8837.53,11624.86,11593.27,14364.14,9357.27,10338.75,9395.77,11569.45,6818.54,110689.0,13072.3,11676.36,4970.26,8486.2,4700.15,11978.18,50031.91,100035.86,4230.58,13152.39,11498.91,5354.51,19659.69,13785.51,20569.92,38189.52,5894.01,46402.23,16261.83,16903.16,9952.0,9876.9,9733.1,11380.62,5541.56,27052.72,8455.74,14349.17,9455.41,8892.14,4403.54,10360.07,9958.24,4272.36,8462.26,12792.88,9836.69,13429.98,7447.61,10800.59,12519.55,17043.55,6989.98,14271.06,15026.65,10671.24,7058.84,52981.5,3909.57,10566.75,9178.65,20961.0,10476.68,13652.56,17899.1,10358.07,9086.79,12840.54,8500.0,7867.25,22237.62,11579.18,10912.08,11302.02,28498.73,16948.61,3231.75
2,29352.16,23137.24,2300.85,13852.04,6856.92,4849.03,10845.4,11743.94,2766.82,6810.27,18093.69,27231.11,15021.42,9094.22,10414.87,6475.83,8523.46,17667.83,12858.48,9933.54,7328.28,13339.48,7079.09,7553.5,6870.34,8217.93,8777.79,11543.59,11623.06,14340.68,9293.77,10179.88,9354.7,11751.69,6749.74,110684.21,12959.08,11650.68,4950.45,8613.26,4662.32,11982.61,50037.61,100041.47,4213.61,12938.16,11350.4,5293.28,19430.34,13931.66,20301.91,37915.51,5937.95,46184.37,16126.77,16841.04,9996.04,9962.32,9648.77,11501.66,5399.7,26878.37,8312.75,14160.55,9389.21,8894.5,4293.82,10154.37,9905.26,4402.39,8200.19,12720.92,9724.82,13396.38,7323.85,10486.01,12306.35,16839.46,7049.83,14071.1,14801.59,10725.83,6890.68,52980.82,3819.28,10398.44,9170.48,20910.49,10483.06,13618.79,17845.74,10060.13,8545.24,12629.84,8169.44,8114.26,22022.8,11428.53,10824.22,11091.69,27620.52,16772.23,3141.08
3,29630.41,23245.88,2315.27,14017.27,6907.16,4854.88,11148.23,11817.42,2773.43,6832.79,18374.25,27570.14,15165.73,9181.13,10656.84,6326.07,8590.43,18052.52,12980.18,9981.69,7351.75,13478.04,7171.84,7680.63,6971.41,8345.13,8871.12,11660.6,11571.42,14311.04,9378.19,10401.2,9403.23,11875.17,6738.69,110480.11,12940.81,11668.22,4966.96,8693.26,4671.9,11988.28,50040.71,100045.44,4153.74,13213.84,11414.37,5279.73,19540.43,13952.84,20456.53,38010.49,5921.87,46243.78,16163.09,16798.32,9946.7,9858.17,9751.47,11430.62,5559.55,26848.25,8408.67,14281.26,9480.24,9118.97,4392.82,10200.93,10056.06,4409.43,8179.08,12657.2,9629.83,13282.29,7375.43,10634.21,12113.73,16197.54,6968.02,14300.42,14914.84,10635.2,7084.57,52757.75,3836.32,10582.58,9238.41,21207.32,10404.15,13588.32,17773.28,10264.51,8935.48,12665.52,8462.13,7897.22,22228.89,11472.1,10930.85,11177.12,28304.76,16801.17,3302.94
4,29449.93,23260.2,2233.12,13698.82,6775.37,4730.86,10945.13,11343.6,2687.37,6703.3,17868.74,27579.25,15072.72,8931.18,10495.42,6420.69,7926.46,17884.16,12904.79,9968.79,7118.09,13369.36,7078.59,7510.73,6756.17,8255.33,8833.55,11607.21,11595.55,14353.23,9368.25,10197.89,9340.79,11917.45,6803.58,110412.13,12997.68,11635.75,4952.45,8732.98,4661.81,11993.11,50043.64,100049.28,4156.34,13030.03,11194.89,5200.98,19171.01,13800.38,20327.36,37911.7,5937.58,46411.02,16230.19,16791.46,9986.23,9953.0,9659.87,11470.58,5427.71,26738.2,8202.65,13975.51,9378.45,9052.21,4269.09,9898.05,9918.01,4375.94,8245.77,12677.51,9649.73,13314.97,7220.85,10251.72,12155.01,16375.63,7021.48,14103.18,14735.35,10684.72,6910.48,52718.55,3753.81,10329.53,9174.26,20892.11,10479.31,13484.63,17679.7,9914.65,8283.98,12321.35,8122.27,8208.54,21986.42,11239.77,10850.58,10868.41,27331.4,16299.31,3200.68
5,29948.24,23720.25,2273.54,13736.22,6790.91,4796.04,10956.15,11473.43,2777.71,6755.56,18229.55,28676.55,15331.22,9049.3,10845.36,6205.73,8059.79,18065.78,13112.13,10006.38,7386.6,13621.88,7202.38,7780.97,6777.18,8331.32,8987.33,11821.6,11502.35,14260.87,9530.39,10261.56,9350.43,11811.14,6757.61,110250.32,13050.82,11577.4,4951.01,8649.29,4665.2,11997.16,50045.56,100052.93,4106.59,13470.95,11258.47,5214.62,19377.26,13848.52,20579.63,38193.6,5892.9,46303.22,16209.72,16720.38,9884.32,9733.61,9864.04,11314.58,5624.72,27811.63,8267.52,14067.57,9571.5,9216.82,4424.7,9962.83,10030.4,4163.17,8624.14,12725.23,9729.01,13115.93,7231.55,10567.18,12125.54,16198.66,6903.55,14332.63,14811.43,10480.64,7037.0,52530.06,3789.83,10415.83,9214.74,21108.24,10425.34,13601.53,17798.88,10364.71,9029.42,12916.17,8439.99,7839.73,22338.22,11279.86,11020.39,11062.49,28119.27,16376.59,3264.77
6,30213.65,24065.94,2280.71,13744.81,6757.53,4785.69,11056.53,11620.72,2818.67,6757.55,18589.79,29464.76,15469.29,9072.66,11039.88,6096.74,8290.24,18122.11,13220.23,10062.25,7705.88,13746.2,7296.77,7999.52,6873.62,8397.97,9068.41,11935.93,11564.46,14377.7,9616.81,10342.25,9369.03,11766.23,6770.98,110196.54,13161.57,11550.8,4953.67,8608.18,4681.61,12000.69,50051.5,100063.17,4074.15,13710.59,11207.41,5209.39,19315.6,13825.35,20828.65,38381.59,5863.93,46787.89,16333.76,16874.38,9905.1,9791.76,9813.12,11349.0,5641.53,27707.82,8254.83,14107.2,9720.76,9313.55,4503.61,9967.77,10135.94,4159.5,8648.18,12804.79,9840.4,13148.54,7190.54,10609.42,12440.47,16887.13,6842.34,14379.53,14864.7,10475.96,7100.94,52437.7,3802.94,10415.2,9226.09,21165.46,10416.8,13622.71,17806.37,10463.76,9252.44,12988.78,8536.62,7724.98,22538.06,11281.92,11118.57,11145.19,28495.24,16504.25,3377.63
7,30521.82,24418.28,2302.72,13864.1,6768.29,4824.54,11311.65,11698.75,2851.21,6804.6,18785.7,30373.26,15629.45,9171.22,11264.5,5972.64,8391.39,18366.82,13335.36,10102.29,7767.34,13883.43,7389.14,8271.87,6922.53,8511.15,9161.69,12065.48,11564.77,14350.0,9698.78,10517.07,9418.11,11809.65,6741.98,110243.05,13170.98,11565.12,4966.14,8646.02,4712.15,12008.82,50053.4,100066.4,4039.63,13992.7,11261.14,5169.02,19401.4,13922.46,20701.44,38249.53,5883.62,46455.12,16196.78,16720.1,9859.6,9693.66,9909.73,11318.41,5916.11,27640.11,8338.28,14267.47,9822.02,9427.44,4599.2,10016.73,10375.25,4127.59,8718.05,12780.91,9806.64,13058.87,7205.41,10749.37,12546.22,17000.45,6773.24,14378.71,14790.5,10432.66,7313.87,52465.66,3824.19,10523.66,9309.42,21551.69,10332.0,13711.78,17937.16,10537.1,9332.36,12870.98,8608.82,7709.84,22768.0,11334.3,11234.03,11252.83,28771.09,16627.33,3548.91
8,30660.63,24623.9,2306.87,13939.12,6870.54,4855.41,11398.51,11810.32,2829.33,6911.18,18594.77,30886.64,15701.44,9223.48,11366.05,5921.14,8560.59,18477.29,13385.73,10118.28,7847.68,13941.45,7442.72,8285.93,6982.06,8585.49,9209.32,12120.34,11606.5,14304.86,9739.82,10533.66,9426.86,11737.62,6767.83,110339.08,13233.72,11605.28,4985.06,8592.47,4725.18,12016.29,50055.27,100069.61,4056.98,14121.97,11372.79,5157.25,19434.5,14073.17,20981.06,38539.48,5839.87,46996.34,16014.97,16769.72,9860.48,9689.59,9910.54,11303.32,5913.42,27747.7,8331.06,14380.72,9854.91,9467.55,4583.12,10154.76,10438.26,4064.51,8855.27,12749.42,9757.38,13049.76,7286.49,10619.94,12829.94,17183.6,6743.33,14422.12,14847.95,10376.51,7311.0,52547.16,3924.87,10560.58,9301.27,21521.66,10341.1,13655.19,17849.29,10513.78,9256.11,12868.14,8512.46,7752.39,22863.93,11436.05,11285.54,11279.87,28499.53,16790.71,3550.66
9,30479.75,24406.27,2345.25,13955.72,6860.9,4878.18,11457.34,11717.26,2855.26,6932.57,18537.94,30399.3,15607.42,9268.06,11230.58,5989.92,8409.23,18629.24,13330.67,10102.32,7817.43,13862.63,7407.58,8299.42,6972.08,8549.12,9143.69,12032.55,11663.11,14384.75,9635.26,10550.87,9431.95,11694.55,6847.6,110344.66,13264.66,11600.79,4991.07,8554.6,4736.22,12021.28,50056.88,100073.73,4058.35,13952.62,11435.46,5194.29,19536.08,14018.6,20919.58,38516.19,5843.33,46841.79,16299.78,16800.53,9869.31,9716.11,9887.56,11335.83,5945.03,27265.48,8362.92,14398.0,9808.59,9533.58,4599.16,10211.99,10404.39,4075.58,8822.1,12732.78,9728.57,13063.13,7291.82,10615.62,12775.72,17314.16,6783.75,14343.1,14808.64,10408.02,7328.27,52594.22,3915.43,10593.26,9253.3,21297.55,10399.5,13586.3,17733.04,10468.39,9217.97,12759.57,8454.92,7750.97,22783.83,11431.01,11223.46,11346.82,28361.71,16840.81,3567.53
