,title,url,time,Update_dt,trd_dt
0,"""오를 때 됐나""…카카오게임즈 등 게임주·ETF 들썩",https://www.hankyung.com/finance/article/2023071175196,1분 전,2023-07-11 10:37:29.206724,20230711
1,“아이의 강력한 무기는 어른이 갖지 못한 ‘투자 기간’”,https://weekly.donga.com/3/all/11/4273360/1,35분 전,2023-07-11 10:37:29.206724,20230711
2,"""엔화 풀매수""…800원대 슈퍼 엔저에 '엔테크' 열풍",https://view.asiae.co.kr/article/2023071109540347818,4분 전,2023-07-11 10:02:36.078589,20230711
3,"코스피, 美 증시 반등 영향에 투심 개선…장 초반 상승세",http://news.einfomax.co.kr/news/articleView.html?idxno=4273120,22분 전,2023-07-11 10:02:36.078589,20230711
4,인도 투자 힘 싣는 미래에셋…니프티50 ETF 활용 라인업 확대,http://www.fntimes.com/html/view.php?ud=202307110908405799179ad43907_18,32분 전,2023-07-11 10:02:36.078589,20230711
5,[엔터주] 시가총액 9350억원 감소...나스미디어 7.66% 상승 '눈길',https://www.pinpointnews.co.kr/news/articleView.html?idxno=206250,1시간 전,2023-07-11 08:44:49.362768,20230711
6,"[변동성에 성장한 운용사, 상반기 점검] 대형사 압도한 ETF 시장… ""따라하기 업계 관행 개선돼야""",https://www.ajunews.com/view/20230709170720146,2시간 전,2023-07-11 08:44:49.362768,20230711
7,"한화운용, 나스닥 정예 ETF…미래에셋 '맞대결'",https://dealsite.co.kr/articles/106601,2시간 전,2023-07-11 08:44:49.362768,20230711
8,"“매월 분배금 준다지만, 과연 이득일까?”…월배당 ETF의 함정",https://biz.chosun.com/stock/stock_general/2023/07/11/7CZHCBYLUJEBLB47FH6HIN3SRA/?utm_source=naver&utm_medium=original&utm_campaign=biz,2시간 전,2023-07-11 08:44:49.362768,20230711
9,만들어진 ETF 100조? 운용사 시가총액 뻥튀기 논란,http://www.edaily.co.kr/news/newspath.asp?newsid=01131606635673536,3시간 전,2023-07-11 08:44:49.362768,20230711
10,2차전지 하반기도 뜰까...ETF도 관심↑,http://www.hansbiz.co.kr/news/articleView.html?idxno=655906,10시간 전,2023-07-11 08:44:49.362768,20230710
11,"100조 ETF 시장, 개인 투자자들 미래에셋·삼성 몰려",http://www.fnnews.com/news/202307101818163158,26분 전,2023-07-10 18:45:01.475653,20230710
12,"ETF 시장 급성장에…운용사, 보수인하 경쟁도 격화",https://news.mtn.co.kr/news-detail/2023071016502165827,15분 전,2023-07-10 18:11:05.784847,20230710
