,title,url,time,Update_dt,trd_dt
0,"""오를 때 됐나""…카카오게임즈 등 게임주·ETF 들썩",https://www.hankyung.com/finance/article/2023071175196,37분 전,2023-07-11 11:13:46.062552,20230711
1,“아이의 강력한 무기는 어른이 갖지 못한 ‘투자 기간’”,https://weekly.donga.com/3/all/11/4273360/1,1시간 전,2023-07-11 11:13:46.062552,20230711
2,"""엔화 풀매수""…800원대 슈퍼 엔저에 '엔테크' 열풍",https://view.asiae.co.kr/article/2023071109540347818,1시간 전,2023-07-11 11:13:46.062552,20230711
3,"코스피, 美 증시 반등 영향에 투심 개선…장 초반 상승세",http://news.einfomax.co.kr/news/articleView.html?idxno=4273120,1시간 전,2023-07-11 11:13:46.062552,20230711
4,인도 투자 힘 싣는 미래에셋…니프티50 ETF 활용 라인업 확대,http://www.fntimes.com/html/view.php?ud=202307110908405799179ad43907_18,1시간 전,2023-07-11 11:13:46.062552,20230711
5,[엔터주] 시가총액 9350억원 감소...나스미디어 7.66% 상승 '눈길',https://www.pinpointnews.co.kr/news/articleView.html?idxno=206250,4시간 전,2023-07-11 11:13:46.062552,20230711
6,"[변동성에 성장한 운용사, 상반기 점검] 대형사 압도한 ETF 시장… ""따라하기 업계 관행 개선돼야""",https://www.ajunews.com/view/20230709170720146,4시간 전,2023-07-11 11:13:46.062552,20230711
7,"한화운용, 나스닥 정예 ETF…미래에셋 '맞대결'",https://dealsite.co.kr/articles/106601,4시간 전,2023-07-11 11:13:46.062552,20230711
8,"“매월 분배금 준다지만, 과연 이득일까?”…월배당 ETF의 함정",https://biz.chosun.com/stock/stock_general/2023/07/11/7CZHCBYLUJEBLB47FH6HIN3SRA/?utm_source=naver&utm_medium=original&utm_campaign=biz,5시간 전,2023-07-11 11:13:46.062552,20230711
9,만들어진 ETF 100조? 운용사 시가총액 뻥튀기 논란,http://www.edaily.co.kr/news/newspath.asp?newsid=01131606635673536,6시간 전,2023-07-11 11:13:46.062552,20230711
10,2차전지 하반기도 뜰까...ETF도 관심↑,http://www.hansbiz.co.kr/news/articleView.html?idxno=655906,12시간 전,2023-07-11 11:13:46.340618,20230710
11,"100조 ETF 시장, 개인 투자자들 미래에셋·삼성 몰려",http://www.fnnews.com/news/202307101818163158,16시간 전,2023-07-11 11:13:46.340618,20230710
12,"ETF 시장 급성장에…운용사, 보수인하 경쟁도 격화",https://news.mtn.co.kr/news-detail/2023071016502165827,17시간 전,2023-07-11 11:13:46.340618,20230710
13,한달새 1조원 빨아들인 '금리형 ETF',https://www.mk.co.kr/article/10781176,17시간 전,2023-07-11 11:13:46.340618,20230710
14,"""내가 王이 될 상인가?"" 830% 오른 에코프로 장중 100만원 터치",http://news.mt.co.kr/mtview.php?no=2023071009184719539,18시간 전,2023-07-11 11:13:46.340618,20230710
15,다시금 '20조원' 육박한 빚투…개인 투자자 성적표는 '글쎄',http://news.mt.co.kr/mtview.php?no=2023071008432146580,18시간 전,2023-07-11 11:13:46.340618,20230710
16,증시 박스에 갇히자...‘파킹형’ 금리ETF 한달새 1조 유입,https://www.mk.co.kr/article/10780944,19시간 전,2023-07-11 11:13:46.340618,20230710
17,"""배터리의 심장은 양극재""...미래운용, 2차전지 ETF 라인업 완성",http://news.mt.co.kr/mtview.php?no=2023071010195856960,19시간 전,2023-07-11 11:13:46.340618,20230710
18,"“리오프닝 효과 없나”…질주하는 글로벌 증시, 中펀드는 ‘내리막’",https://www.etoday.co.kr/news/view/2264648,19시간 전,2023-07-11 11:13:46.340618,20230710
19,"[단독]미래운용, '우주·로봇·AI' ETF 출시…""韓 스페이스테크 투자""",http://news.mt.co.kr/mtview.php?no=2023071014514313358,20시간 전,2023-07-11 11:13:46.340618,20230710
20,[특징주] 신원종합개발+22%…서초구 헌인마을 개발 기대감↑,https://www.lcnews.co.kr/news/articleView.html?idxno=55683,20시간 전,2023-07-11 11:13:46.652946,20230710
21,"100조 시대 연 ETF, 개미 투심은 ‘미래에셋-삼성’ 집중",http://www.fnnews.com/news/202307101322317601,20시간 전,2023-07-11 11:13:46.652946,20230710
22,[더벨][ETF 위클리]파킹상품 자금몰이…KODEX CD금리 액티브 '인기',https://www.thebell.co.kr/free/content/ArticleView.asp?key=202307100920331160101151,1일 전,2023-07-11 11:13:46.652946,20230710
23,"ETF 100조원 시대, 넥스트 스텝을 위한 고민",http://www.updownnews.co.kr/news/articleView.html?idxno=305012,1일 전,2023-07-11 11:13:46.652946,20230710
24,'10만원→100만원' 뛴 에코프로…16년만에 코스닥 황제주 탄생,http://news.mt.co.kr/mtview.php?no=2023071009455833422,1일 전,2023-07-11 11:13:46.652946,20230710
25,"코스피, 혼조세 출발…美 연착륙 기대 vs 금리인상 지속",http://news.einfomax.co.kr/news/articleView.html?idxno=4272964,1일 전,2023-07-11 11:13:46.652946,20230710
26,"‘역대급 엔저’에 투자는 활발, 수출엔 타격",https://magazine.hankyung.com/business/article/202307055779b,1일 전,2023-07-11 11:13:46.652946,20230710
27,[엔터주 월간동향] 최근 한달 시총 9140억원 감소...하이브 한달새 6.32% 상승 '눈길',https://www.pinpointnews.co.kr/news/articleView.html?idxno=205986,1일 전,2023-07-11 11:13:46.652946,20230710
28,코스피 박스권 길어지자… 한달 새 4000억 몰려간 곳,https://www.chosun.com/economy/economy_general/2023/07/10/QHERBIFLVJCGBAZG66RW3NZ7IQ/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,1일 전,2023-07-11 11:13:46.652946,20230710
29,분명 한국산이 최고랬는데…기대만큼 재미 못본 ‘K콘텐츠 ETF’,https://www.mk.co.kr/article/10780374,1일 전,2023-07-11 11:13:46.652946,20230710
30,저탄소가 돈 벌어준다…‘기후ETF’ 올들어 수익률 52%,https://www.joongang.co.kr/article/25176001,1일 전,2023-07-11 11:13:46.879153,20230710
31,ETF 100조 시대… “미국 주식·2차전지·반도체 투자하세요” [마이머니],http://www.segye.com/content/html/2023/07/09/20230709512125.html?OutUrl=naver,1일 전,2023-07-11 11:13:46.879153,20230710
32,"인도 증시, 사상 최고치 돌파…ETF 담아볼까",https://www.hankyung.com/finance/article/2023070936341,1일 전,2023-07-11 11:13:46.879153,20230710
33,최악 폭염에 '기후 ETF' 살 생각 했다면...상반기만 52% 벌었다,https://www.joongang.co.kr/article/25175936,1일 전,2023-07-11 11:13:46.879153,20230710
34,`황제주` 넘보는 에코프로…공매도와 후려치기에도 개미는 간다,https://www.dt.co.kr/contents.html?article_no=2023071002101563066001&ref=naver,1일 전,2023-07-11 11:13:46.879153,20230710
35,조선株 ETF '훨훨' 올해 20%대 수익,https://www.mk.co.kr/article/10780035,1일 전,2023-07-11 11:13:46.879153,20230710
36,[엔터주 주간동향] 한주간 시총 560억원 감소...디앤씨미디어 주간 9.6%↑,https://www.pinpointnews.co.kr/news/articleView.html?idxno=205920,1일 전,2023-07-11 11:13:46.879153,20230710
37,"옐런 ""공급망 다양화 추진""…종합상사株 날아오르나[김호성의 마켓워치]",https://www.econovill.com/news/articleView.html?idxno=617236,2일 전,2023-07-11 11:13:46.879153,20230709
38,에코프로 날자 2차전지 ETF도 훨훨,https://www.ekn.kr/web/view.php?key=20230709010002193,2일 전,2023-07-11 11:13:46.879153,20230709
39,"""땡큐 에코프로"" 2차전지 ETF 수익률 상위 싹쓸이[펀드와치]",http://www.edaily.co.kr/news/newspath.asp?newsid=01154566635672880,2일 전,2023-07-11 11:13:46.879153,20230709
40,‘형만 한 아우’ 없어도 ‘형 만한 아우株’는 있다 [유혜림의 株마카세],http://news.heraldcorp.com/view.php?ud=20230708000113,2일 전,2023-07-11 11:13:47.121285,20230709
41,[엔터주] 시가총액 971억원 증가...나스미디어 4.11% 상승 '눈길',https://www.pinpointnews.co.kr/news/articleView.html?idxno=205822,2일 전,2023-07-11 11:13:47.121285,20230709
